"lang"
{
	"Language"	"russian"
	
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_arctic_burn_flat_damage"						"Arctic Burn: урон"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_arctic_burn_flat_damage_Description"			"<h1>Обычный фрагмент скипетра</h1>+%value% к урону от Arctic Burn."
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_arctic_burn_flat_duration"					"Arctic Burn: длительность"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_arctic_burn_flat_duration_Description"		"<h1>Обычный фрагмент скипетра</h1>+%value% сек. длительности Arctic Burn."
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_splinter_blast_flat_radius"					"Splinter Blast: радиус"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_splinter_blast_flat_radius_Description"		"<h1>Обычный фрагмент скипетра</h1>+%value% к радиусу Splinter Blast."
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_splinter_blast_flat_damage"					"Splinter Blast: урон"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_splinter_blast_flat_damage_Description"		"<h1>Обычный фрагмент скипетра</h1>+%value% к урону от Splinter Blast."
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_cold_embrace_flat_heal_percentage"			"Cold Embrace: лечение"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_cold_embrace_flat_heal_percentage_Description" "<h1>Обычный фрагмент скипетра</h1>+%value%% от макс. здоровья в секунду от Cold Embrace."
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_cold_embrace_pct_cooldown"					"Cold Embrace: перезарядка"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_cold_embrace_pct_cooldown_Description"		"<h1>Обычный фрагмент скипетра</h1>–%value%% перезарядки Cold Embrace."
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_winters_curse_flat_duration"					"Winter's Curse: длительность"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_winters_curse_flat_duration_Description"		"<h1>Обычный фрагмент скипетра</h1>+%value% сек. длительности Winter's Curse."
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_winters_curse_pct_cooldown"					"Winter's Curse: перезарядка"
	"DOTA_Tooltip_Ability_item_aghsfort_winter_wyvern_winters_curse_pct_cooldown_Description"		"<h1>Обычный фрагмент скипетра</h1>–%value%% перезарядки Winter's Curse."
	
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_voodoo_restoration_manacost"					"Voodoo Restoration: расход маны"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_voodoo_restoration_manacost_Description"		"<h1>Обычный фрагмент скипетра</h1>–%value%% от расхода маны на Voodoo Restoration."
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_voodoo_restoration_flat_heal"					"Voodoo Restoration: лечение"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_voodoo_restoration_flat_heal_Description"		"<h1>Обычный фрагмент скипетра</h1>+%value% к лечению от Voodoo Restoration."
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_paralyzing_cask_flat_damage"					"Paralyzing Cask: урон"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_paralyzing_cask_flat_damage_Description"		"<h1>Обычный фрагмент скипетра</h1>+%value% к урону от Paralyzing Cask."
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_paralyzing_cask_flat_bounces"					"Paralyzing Cask: отскоки"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_paralyzing_cask_flat_bounces_Description"		"<h1>Обычный фрагмент скипетра</h1>+%value% к числу отскоков от Paralyzing Cask."
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_maledict_flat_ticks"							"Maledict: число срабатываний"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_maledict_flat_ticks_Description"				"<h1>Обычный фрагмент скипетра</h1>+%value% к числу срабатываний Maledict."
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_maledict_flat_max_bonus_damage"				"Maledict: максимальный урон"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_maledict_flat_max_bonus_damage_Description"	"<h1>Обычный фрагмент скипетра</h1>+%value% к макс. урону за срабатывание Maledict."
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_death_ward_flat_damage"						"Death Ward: урон"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_death_ward_flat_damage_Description"			"<h1>Обычный фрагмент скипетра</h1>+%value% к урону от Death Ward."
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_death_ward_flat_channel_duration"				"Death Ward: длительность"
	"DOTA_Tooltip_Ability_item_aghsfort_witch_doctor_death_ward_flat_channel_duration_Description"	"<h1>Обычный фрагмент скипетра</h1>+%value% сек. длительности Death Ward."
	
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-THE REST END---------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-TIDEHUNTER START-----------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	
	//>---------------------------------------
	//>--- LEGENDARY -------------------------
	//>---------------------------------------
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_bounce"	                                                        "Together Unto The Depth"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_bounce_Description"	                                            "При попадании в цель снаряд Gush отскакивает до %bounce% раз до самого дальнего вражеского юнита в радиусе %radius%"
	
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_ravage"	                                                        "Tentacular Fondling"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_ravage_Description"	                                            "Gush также призывает одно щупальце Ravage текущего уровня к основной цели, которое наносит %damage_percent%%% урона и оглушает на все время действия оглушения Ravage"
	
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_miss"                                                              "Salt Water Face Wash"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_miss_Description"                                                  "Вражеские юниты, на которые действует дебафф Gush, также имеют шанс %miss_percent%%% пропустить их атаку"
	
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_gush"	                                                    "Razor Shore"
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_gush_Description"	                                        "При срабатывании эффекта очистки Kraken Shell автоматически запускает снаряды %targets% Gush текущего уровня в ближайших вражеских юнитов"
	
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_heal"	                                                    "Lovecraftian Romance"
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_heal_Description"	                                        "Эффект очищения Kraken Shell также рассеивает и лечит любого дружественного героя в радиусе %radius% на %heal_percent%%% от порога срабатывания"
	
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_ravage_cdr"	                                            "Maelrawn's Lament"
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_ravage_cdr_Description"	                                "Каждый срабатывание очищающего эффекта Kraken Shell также снижает время перезарядки Ravage на %cdr_percent%%%"
	
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_allies"                                                    "Safe Harbours"
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_allies_Description"                                        "Использование Anchor Smash также заставит дружественных героев в радиусе %radius% нанося урон и снижая способность атаки любого вражеского юнита вокруг них"
	
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_karate"                                                    "Fish-man Karate"
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_karate_Description"                                        "Скорость атаки Tidehunter снижена до абсолютного минимума, но время восстановления Anchor Smash сокращено на 50%, а его мана-кост убран."
	
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_whack"                                                     "Anchor Whack"
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_whack_Description"                                         "Anchor Smash теперь также отбрасывает всех пораженных вражеских юнитов и имеет шанс %root_chance%%% обездвижить их на %root_duration% секунд"
	
	"DOTA_Tooltip_Ability_tidehunter_ravage_pf_puddle"                                                          "Red Sea's Clamour"
	"DOTA_Tooltip_Ability_tidehunter_ravage_pf_puddle_Description"                                              "Применение Ravage оставит после себя лужу, которая усиливает блокировку урона Kraken Shell на %block_amp%%%. Любой вражеский юнит в радиусе имеет шанс %stun_chance%%% попадать под действие текущего уровня Ravage каждую секунду. Лужа никогда не исчезнет, пока Tidehunter остается внутри нее"
	
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch"                                                                 "Cap'n Crunch"
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_Description"                                                     "Tidehunter поглощает вражеского капитана, нанося %pct_damage%%% от его максимального здоровья как чистый урон себе и жертве каждую секунду. Если цель умирает под этим эффектом, Tidehunter получает суммирующийся бонус, который увеличивает его максимальное здоровье, регенерацию, сопротивление эффектам, броню, сопротивление магии и ... вес. Половина стаков теряется при смерти"
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_duration"                                                        "Максимальная Длительность: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_pct_damage"                                                      "%Максимальное здоровье себе в виде урона: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_armor"                                                           "Бонус брони за стак: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_health"                                                          "Бонус максимального здоровья за стак: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_magic_resist"                                                    "%Бонус магическому сопротивлению за стак: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_speed_reduction"                                                 "Снижение скорости передвижения за стак: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_damage_bonus"                                                    "Бонус к урону от атаки за стак: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_regen"                                                           "Бонус регенерации здоровья за стак: "
	"DOTA_Tooltip_Ability_tidehunter_pf_crunch_status_resist"                                                   "%Сопротивление эффектам за стак: "
	
	
	
	//>---------------------------------------
	//>--- ABILITY ---------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_tidehunter_gush_pf"	                                                        "Gush"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_Description"	                                            "Вызывает поток воды, который наносит урон всем вражеским юнитам в области, уменьшая их скорость передвижения и броню."
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_gush_damage"	                                            "Урон:"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_movement_speed_reduction"	                                "%Снижение скорости передвижения:"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_negative_armor"	                                        "Снижение брони:"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_radius"	                                                "Радиус эффекта:"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_cast_range"	                                            "Дальность применения:"
	"DOTA_Tooltip_Ability_tidehunter_gush_pf_debuff_duration"	                                        "Длительность дебаффа:"
	
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf"	                                                "Kraken Shell"
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_Description"	                                    "Утолщает шкуру Tidehunter, чтобы пассивно блокировать часть любого входящего физического урона от атак. Шкура также удаляет отрицательные статусные эффекты, если полученный урон превышает пороговое значение. Не складывается с предметами, которые обеспечивают блокировку урона."
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_damage_reduction"	                                "Блок урона:"
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_damage_cleanse"	                                "Порог очищения:"
	"DOTA_Tooltip_Ability_tidehunter_kraken_shell_pf_damage_reset_interval"	                            "Время сброса порога:"
	
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf"	                                                "Anchor Smash"
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_Description"	                                    "Tidehunter взмахивает своим могучим якорем, чтобы атаковать всех ближайших врагов и уменьшить их урон от атаки. Autocast может быть включен, чтобы автоматически использовать способность, когда враги находятся поблизости."
	// "DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_attack_damage"	                                "Дополнительный урон от атаки:"
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_damage_reduction"	                                "%Снижение урона от атаки:"
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_reduction_duration"	                            "Длительность дебаффа:"
	"DOTA_Tooltip_Ability_tidehunter_anchor_smash_pf_radius"	                                        "Радиус:"
	
	"DOTA_Tooltip_Ability_tidehunter_ravage_pf"	                                                        "Ravage"
	"DOTA_Tooltip_Ability_tidehunter_ravage_pf_Description"	                                            "Ударяет по земле, заставляя щупальца извергаться во всех направлениях, нанося урон и оглушая всех ближайших вражеских юнитов."
	"DOTA_Tooltip_Ability_tidehunter_ravage_pf_radius"                                                  "Радиус"
	"DOTA_Tooltip_Ability_tidehunter_ravage_pf_duration"                                                "Длительность оглушения"
	"DOTA_Tooltip_Ability_tidehunter_ravage_pf_damage"                                                  "Урон"
	
	
	//>---------------------------------------
	//>--- MINOR SHARD -----------------------
	//>---------------------------------------
	
	"tidehunter_gush_pf_pct_cooldown"			                                                        "-{s:value}% перезарядки {s:ability_name}"
	"tidehunter_gush_pf_gush_damage"			                                                        "+{s:value} к урону {s:ability_name}"
	"tidehunter_gush_pf_movement_speed_reduction"			                                            "+{s:value}% к снижению скорости передвижения{s:ability_name}"
	"tidehunter_gush_pf_negative_armor"			                                                        "+{s:value} к снижению брони {s:ability_name}"
	"tidehunter_gush_pf_radius"			                                                                "+{s:value} к радуису эффекта {s:ability_name}"
	"tidehunter_gush_pf_cast_range"			                                                            "+{s:value} к дальности применения {s:ability_name}"
	"tidehunter_gush_pf_debuff_duration"			                                                    "+{s:value} секунд к длительности дебаффа {s:ability_name}"
	
	"tidehunter_kraken_shell_pf_damage_reduction"			                                            "+{s:value} к блоку урона {s:ability_name}"
	"tidehunter_kraken_shell_pf_damage_cleanse"			                                                "{s:value} к порогу очищения {s:ability_name}"
	
	"tidehunter_anchor_smash_pf_pct_cooldown"			                                                "-{s:value}% перезарядки {s:ability_name}"
	"tidehunter_anchor_smash_pf_attack_damage"			                                                "+{s:value} к бонусу урона от атаки {s:ability_name}"
	"tidehunter_anchor_smash_pf_damage_reduction"			                                            "+{s:value} к снижению урону от атаки {s:ability_name}"
	"tidehunter_anchor_smash_pf_radius"			                                                        "+{s:value} к радиусу эффекта {s:ability_name}"
	
	"tidehunter_ravage_pf_pct_cooldown"			                                                        "-{s:value}% перезарядки {s:ability_name}"
	"tidehunter_ravage_pf_duration"			                                                            "+{s:value} секунд к длительности оглушения {s:ability_name}"
	"tidehunter_ravage_pf_damage"			                                                            "+{s:value} к урону {s:ability_name}"
	"tidehunter_ravage_pf_radius"			                                                            "+{s:value} к радиусу {s:ability_name}"
	
	
	//>---------------------------------------
	//>--- BRISTLE SHARD ---------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_pct_cooldown"			                                    "Gush - Перезарядка"
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_gush_damage"			                                    "Gush - Урон"
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_movement_speed_reduction"			                        "Gush - Замедление скорости передвижения"
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_negative_armor"			                                "Gush - Снижение брони"
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_radius"			                                        "Gush - Радиус эффекта"
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_cast_range"			                                    "Gush - Дальность применения"
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_debuff_duration"			                                "Gush - Длительность дебаффа"
	
	"DOTA_Tooltip_Ability_item_tidehunter_kraken_shell_pf_damage_reduction"			                        "Kraken Shell - Блок урона"
	"DOTA_Tooltip_Ability_item_tidehunter_kraken_shell_pf_damage_cleanse"			                        "Kraken SHell - Порог очищения"
	
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_pct_cooldown"			                            "Anchor Smash - Перезарядка"
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_attack_damage"			                        "Anchor Smash - Бонус урона от атаки"
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_damage_reduction"			                        "Anchor Smash - Снижение урона от атаки"
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_radius"			                                "Anchor Smash - Радиус эффекта"
	
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_pct_cooldown"			                                "Ravage - Перезарядка"
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_duration"			                                    "Ravage - Длительность оглушения"
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_damage"			                                        "Ravage - Урон"
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_radius"			                                        "Ravage - Радиус"
	
	
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_pct_cooldown_Description"			                        "<h1>Обычный Фрагмент Скипетра</h1> Уменьшает перезарядку Gush на %value%% "
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_gush_damage_Description"			                        "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает урон Gush на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_movement_speed_reduction_Description"			            "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает снижение скорости передвижения Gush на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_negative_armor_Description"			                    "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает снижение брони Gush на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_radius_Description"			                            "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает радиус эффекта Gushна %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_cast_range_Description"			                        "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает дальность применения Gush на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_gush_pf_debuff_duration_Description"			                    "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает длительность дебаффа Gush на %value%s"
	
	"DOTA_Tooltip_Ability_item_tidehunter_kraken_shell_pf_damage_reduction_Description"			            "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает блок урона Kraken Shell на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_kraken_shell_pf_damage_cleanse_Description"			            "<h1>Обычный Фрагмент Скипетра</h1> Уменьшает порог очищения Kraken Shell на %value% "
	
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_pct_cooldown_Description"			                "<h1>Обычный Фрагмент Скипетра</h1> Уменьшает перезарядку Anchor Smash на %value%% "
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_attack_damage_Description"			            "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает бонуса урона от атаки Anchor Smash Bonus на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_damage_reduction_Description"			            "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает снижение урона от атаки Anchor Smash на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_anchor_smash_pf_radius_Description"			                    "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает радиус эффекта Anchor Smash на %value% "
	
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_pct_cooldown_Description"			                    "<h1>Обычный Фрагмент Скипетра</h1> Уменьшает перезарядку Ravage на %value%% "
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_duration_Description"			                        "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает длительность оглушения Ravage на %value%s"
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_damage_Description"			                            "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает урон Ravage на %value% "
	"DOTA_Tooltip_Ability_item_tidehunter_ravage_pf_radius_Description"			                            "<h1>Обычный Фрагмент Скипетра</h1> Увеличивает радиус Ravage на %value% "
	
	
	
	//>---------------------------------------
	//>--- TALENT TREE -----------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_tidehunter_gush_pf+gush_damage"                      "+{s:gush_damage} к урону от Gush "
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_tidehunter_anchor_smash_pf+damage_reduction"         "+{s:damage_reduction}% к снижению урона от атаки Anchor Smash"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_tidehunter_kraken_shell_pf+damage_reduction"         "+{s:damage_reduction} к блоку урона от KrakenShell"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_tidehunter_gush_pf+negative_armor"                   "+{s:negative_armor} к снижению брони от Gush"
	
	
	//>---------------------------------------
	//>--- MODIFIER --------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_modifier_tidehunter_gush_pf"                                                          "Gushed"
	"DOTA_Tooltip_modifier_tidehunter_gush_pf_Description"                                              "Броня и скорость передвижения уменьшены арбузным соком"
	
	"DOTA_Tooltip_modifier_tidehunter_kraken_shell_pf"                                                  "Kraken Shell"
	"DOTA_Tooltip_modifier_tidehunter_kraken_shell_pf_Description"                                      "Получает сильное развеивание, когда полученный урон превышает порог"
	
	"DOTA_Tooltip_modifier_tidehunter_anchor_smash_pf"                                                  "Anchor Smashed"
	"DOTA_Tooltip_modifier_tidehunter_anchor_smash_pf_Description"                                      "Урон от атаки уменьшен"
	
	"DOTA_Tooltip_modifier_tidehunter_ravage_pf_puddle_effect"                                          "Red Sea's Clamour"
	"DOTA_Tooltip_modifier_tidehunter_ravage_pf_puddle_effect_Description"                              "Блок урона Kraken Shell в настоящее время усиливается"
	
	"DOTA_Tooltip_modifier_tidehunter_pf_crunch_buff"                                                   "Salt-Water Cereal"
	"DOTA_Tooltip_modifier_tidehunter_pf_crunch_buff_Description"                                       "Получение дополнительной брони, сопротивления магии, сопротивления статусу, регенерации и дополнительного здоровья при потере скорости передвижения. Половина всех стаков теряется при смерти"
	
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-TIDEHUNTER END-------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-VENOMANCER START-----------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	
	
	//>---------------------------------------
	//>--- LEGENDARY -------------------------
	//>---------------------------------------
	
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_global_attack"		                                        "Global Epidemic"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_global_attack_Description"		                            "Теперь чумные тотемы героя атакуют врагов по всей карте, но наносят на %dmg_penalty%%%  меньше урона"
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_lifesteal"			                                        "Rotten Delicacy"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_lifesteal_Description"			                            "Venomancer восстанавливает здоровье в размере %lifesteal_percentage%%%  от урона, нанесенного тотемами. Poison Sting не влияет на количество исцеления"
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_nova"		                                                "Airborne Parasites"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_nova_Description"                                  		"Каждый враг, задетый способностью Poison Nova, с вероятностью в %spawn_chance%%% может призвать чумной тотем"
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_gale_bkb"		                                                "Herd Immunity"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_gale_bkb_Description"		                                    "Каждый враг, задетый Venomous Gale, дарует герою невосприимчивость к магии на %duration% сек., но в целом не более чем на %max_duration% секунд"
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_corpse"		                                            "Fertile Soil"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_ward_corpse_Description"		                                "Теперь герой атакует дополнительно до %additional_shots% целей. Каждый убитый враг с вероятностью в %spawn_chance%%%  может призвать на свое место чумной тотем, но только если последний удар нанесет сам Venomancer"
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_bigass_ward_dummy"	                                        	"Terror of Jidi Isles"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_bigass_ward_dummy_Description"		                            "Теперь Venomancer может создать огромный огнедышащий тотем, который будет призывать по одному обычному тотему текущего уровня каждые 12 секунд.  Урон от огненного дыхания равен урону героя, умноженному на 3"
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_gale_attack"		                                            "Seasonal Allergy"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_gale_attack_Description"		                                "Атаки героя с вероятностью в %proc_chance%%%  могут запустить во все стороны по шару Venomous Gale текущего уровня"
	
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_banana_bomb" 	                                                "Bananamancer"
	"DOTA_Tooltip_Ability_pathfinder_special_venomancer_banana_bomb_Description" 	                                    "Теперь Venomous Gale призывает по банану за каждого задетого врага. После небольшой задержки все бананы выпускают по облаку Poison Nova текущего уровня в радиусе %radius%. Счастливого бананового танца!"
	
	
	//>---------------------------------------
	//>--- ABILITY ---------------------------
	//>---------------------------------------
	
	
	"DOTA_Tooltip_Ability_venomancer_poison_nova_datadriven"                                                            "Poison Nova"
	"DOTA_Tooltip_Ability_venomancer_poison_nova_datadriven_Lore"			                                            "Печально известный смертельный ядовитый газ, выпущенный Веномантом, стал возможен благодаря диете, состоящей исключительно из тако."
	"DOTA_Tooltip_Ability_venomancer_poison_nova_datadriven_Description"                                                "Герой распыляет яд на врагов вокруг. От этого яда жертвы постепенно теряют здоровье, но не могут умереть."
	
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven"                                                          "Venomous Gale"
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_Lore"                                                     "Передача телесных жидкостей через различные отверстия - одно из любимых занятий Venomancer."
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_Description"                                              "Выплевывает в указанном направлении ядовитый шар, который наносит урон всем задетым врагам и отравляет их. Пораженные цели медленнее передвигаются, а также получают урон каждые 3 секунды действия способности."
	
	"DOTA_Tooltip_Ability_venomancer_poison_sting_datadriven"                                                           "Poison Sting"
	"DOTA_Tooltip_Ability_venomancer_poison_sting_datadriven_Lore"                                                      "Никогда не бери мечи в кислотный бой"
	"DOTA_Tooltip_Ability_venomancer_poison_sting_datadriven_Description"                                               "Добавляет в обычные атаки героя яд, который наносит периодический урон и снижает скорость передвижения жертвы."
	
	"DOTA_Tooltip_Ability_venomancer_plague_ward_datadriven"                                                            "Plague Ward"
	"DOTA_Tooltip_Ability_venomancer_plague_ward_datadriven_Lore"                                                       "Один слюнявый бой приближается!"
	"DOTA_Tooltip_Ability_venomancer_plague_ward_datadriven_Description"                                                "Призывает чумной тотем, атакующий вражеских существ и сооружения. Тотем невосприимчив к магии. Он имеет текущий уровень способности Poison Sting, нанося 50% от её урона."
	
	
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_tick_damage"						                        "Урон от срабатывания:"
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_tick_damage"						                        "Периодический урон:"
	"DOTA_Tooltip_Ability_venomancer_venomous_gale_datadriven_distance"						                            "Дальность прохождения:"
